epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.0766,1.58714,2.30276,1.12513,0.3674,0.25808,0.21363,0.12222,1.50687,1.4753,1.1,0.0033251,0.0033251,0.0033251
2,144.478,1.51791,1.58583,1.07437,0.36282,0.30524,0.27751,0.16396,1.45594,1.37723,1.06279,0.00665184,0.00665184,0.00665184
3,208.271,1.52893,1.49837,1.07156,0.38108,0.33397,0.30495,0.17982,1.46138,1.35088,1.05833,0.00997199,0.00997199,0.00997199
4,270.779,1.51151,1.43539,1.0658,0.37911,0.33788,0.30613,0.17615,1.4849,1.37346,1.07987,0.0099703,0.0099703,0.0099703
5,333.189,1.48382,1.35376,1.05551,0.40982,0.32897,0.31678,0.18998,1.45398,1.28722,1.05846,0.0099604,0.0099604,0.0099604
6,394.965,1.46854,1.29066,1.04519,0.42648,0.35931,0.3394,0.20415,1.41738,1.21424,1.03696,0.0099505,0.0099505,0.0099505
7,456.835,1.45449,1.25056,1.04027,0.42872,0.37166,0.35881,0.2116,1.39317,1.18991,1.04241,0.0099406,0.0099406,0.0099406
8,518.327,1.43761,1.21361,1.03414,0.42978,0.37302,0.35292,0.21194,1.401,1.23926,1.03753,0.0099307,0.0099307,0.0099307
9,579.751,1.42255,1.18146,1.02731,0.46813,0.37955,0.37645,0.2274,1.38542,1.15474,1.03551,0.0099208,0.0099208,0.0099208
10,641.078,1.41478,1.16345,1.02112,0.46154,0.39348,0.38723,0.23261,1.38107,1.12824,1.03082,0.0099109,0.0099109,0.0099109
11,702.629,1.39994,1.13553,1.01879,0.48761,0.38155,0.38969,0.23552,1.36133,1.13056,1.02263,0.009901,0.009901,0.009901
12,764.44,1.3937,1.12828,1.01613,0.48394,0.39567,0.39736,0.23823,1.37712,1.10806,1.02262,0.0098911,0.0098911,0.0098911
13,825.967,1.3884,1.10985,1.01653,0.49021,0.39932,0.3971,0.2383,1.37439,1.10297,1.02317,0.0098812,0.0098812,0.0098812
14,887.982,1.3774,1.1023,1.00936,0.48339,0.40102,0.40181,0.24423,1.35679,1.09653,1.01915,0.0098713,0.0098713,0.0098713
15,950.275,1.38343,1.09053,1.0086,0.49884,0.40533,0.40095,0.24321,1.35434,1.10232,1.02066,0.0098614,0.0098614,0.0098614
16,1012.01,1.3808,1.07987,1.01069,0.48242,0.40735,0.41155,0.24927,1.34713,1.07797,1.01719,0.0098515,0.0098515,0.0098515
17,1073.97,1.37108,1.06872,1.00544,0.49306,0.40657,0.40957,0.25038,1.35504,1.07315,1.01559,0.0098416,0.0098416,0.0098416
18,1135.77,1.36983,1.06459,1.00507,0.50782,0.4132,0.42186,0.25769,1.35123,1.07228,1.01418,0.0098317,0.0098317,0.0098317
19,1197.64,1.35505,1.05562,1.00348,0.51505,0.41817,0.42549,0.25878,1.34943,1.06183,1.01403,0.0098218,0.0098218,0.0098218
20,1259.32,1.35733,1.0487,1.00169,0.49972,0.41917,0.42414,0.25813,1.33877,1.05051,1.01253,0.0098119,0.0098119,0.0098119
21,1321.28,1.35199,1.04176,0.99976,0.51209,0.4185,0.42804,0.26274,1.33758,1.04957,1.00682,0.009802,0.009802,0.009802
22,1383.28,1.34579,1.03798,0.9977,0.50014,0.41739,0.42173,0.25713,1.33065,1.0573,1.00731,0.0097921,0.0097921,0.0097921
23,1444.58,1.34486,1.02812,0.99882,0.50668,0.41902,0.4291,0.26132,1.33045,1.03535,1.00738,0.0097822,0.0097822,0.0097822
24,1505.89,1.34192,1.023,0.9963,0.517,0.41438,0.42964,0.26369,1.33327,1.03876,1.00603,0.0097723,0.0097723,0.0097723
25,1567.2,1.3382,1.01671,0.9947,0.50967,0.41261,0.42927,0.26216,1.3386,1.05086,1.0088,0.0097624,0.0097624,0.0097624
26,1628.63,1.3436,1.02059,0.99693,0.51855,0.42916,0.43565,0.26856,1.32418,1.03698,1.00257,0.0097525,0.0097525,0.0097525
27,1690.14,1.33473,1.01247,0.99159,0.52507,0.43023,0.44301,0.26976,1.3238,1.02875,1.00459,0.0097426,0.0097426,0.0097426
28,1751.66,1.331,1.0062,0.98947,0.51249,0.42445,0.43587,0.26817,1.31915,1.02448,1.0012,0.0097327,0.0097327,0.0097327
29,1813.54,1.32835,1.00509,0.98933,0.5206,0.4265,0.44031,0.27007,1.32211,1.02222,1.00204,0.0097228,0.0097228,0.0097228
30,1875.15,1.32887,0.99736,0.9898,0.51607,0.41952,0.43464,0.26684,1.31587,1.02116,1.00093,0.0097129,0.0097129,0.0097129
31,1936.69,1.32511,0.99659,0.98992,0.53973,0.4288,0.44678,0.27315,1.31765,1.0124,0.99847,0.009703,0.009703,0.009703
32,1998.29,1.32649,0.98999,0.98771,0.52017,0.44024,0.45435,0.27807,1.31059,1.00969,1.00064,0.0096931,0.0096931,0.0096931
33,2059.91,1.3249,0.99284,0.9895,0.51565,0.43957,0.44252,0.27179,1.31885,1.01054,0.99963,0.0096832,0.0096832,0.0096832
34,2119.45,1.31998,0.9902,0.986,0.54145,0.43302,0.44965,0.27478,1.31605,1.00439,1.00008,0.0096733,0.0096733,0.0096733
35,2180.02,1.31815,0.98156,0.98539,0.54293,0.42516,0.44876,0.27824,1.3136,1.01573,0.99815,0.0096634,0.0096634,0.0096634
36,2241.07,1.31506,0.9771,0.98607,0.52995,0.43721,0.45328,0.27819,1.31077,0.99983,0.99861,0.0096535,0.0096535,0.0096535
37,2301.42,1.31271,0.97468,0.98427,0.53288,0.44323,0.45236,0.27738,1.30966,1.0071,0.99792,0.0096436,0.0096436,0.0096436
38,2363.14,1.31387,0.97634,0.98362,0.54344,0.4423,0.4571,0.28103,1.30602,0.99861,0.99491,0.0096337,0.0096337,0.0096337
39,2424.9,1.30714,0.96591,0.98057,0.53305,0.44112,0.45176,0.27808,1.30563,1.00975,0.99617,0.0096238,0.0096238,0.0096238
40,2543.86,1.31026,0.96936,0.98259,0.5257,0.44424,0.45727,0.28166,1.30888,0.99527,0.99369,0.0096139,0.0096139,0.0096139
41,2644.82,1.3004,0.96092,0.98132,0.5383,0.43986,0.45681,0.2814,1.3016,0.98899,0.9921,0.009604,0.009604,0.009604
42,2781.91,1.30369,0.96422,0.98187,0.54155,0.44673,0.45996,0.28285,1.3003,0.98733,0.99353,0.0095941,0.0095941,0.0095941
43,2885.77,1.30893,0.96395,0.98038,0.5532,0.43888,0.46257,0.28459,1.30545,0.98319,0.99527,0.0095842,0.0095842,0.0095842
44,3029.7,1.3017,0.95656,0.97912,0.55499,0.44317,0.46565,0.28697,1.29735,0.97826,0.99067,0.0095743,0.0095743,0.0095743
45,3133.07,1.29816,0.95089,0.97784,0.54522,0.43717,0.45875,0.28306,1.29878,0.97929,0.9899,0.0095644,0.0095644,0.0095644
46,3274.26,1.30487,0.95323,0.98084,0.54793,0.43569,0.45558,0.28102,1.29737,0.98333,0.99201,0.0095545,0.0095545,0.0095545
47,3478.37,1.29924,0.95145,0.97889,0.55128,0.44673,0.4635,0.28567,1.29997,0.97938,0.99037,0.0095446,0.0095446,0.0095446
48,3539.83,1.30172,0.95165,0.9785,0.55415,0.44247,0.46346,0.28653,1.29255,0.97576,0.9913,0.0095347,0.0095347,0.0095347
49,3691.92,1.29682,0.94757,0.97691,0.56115,0.4467,0.46663,0.28899,1.2871,0.97134,0.98791,0.0095248,0.0095248,0.0095248
50,3753.32,1.29352,0.9485,0.97727,0.54899,0.45165,0.47229,0.29168,1.29243,0.97089,0.98942,0.0095149,0.0095149,0.0095149
